id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,NORTE,2007-01-01,3165.14625000
NE,NORDESTE,2007-01-01,6016.22416667
S,SUL,2007-01-01,5819.78083333
SE,SUDESTE,2007-01-01,22286.73375000
N,NORTE,2007-01-02,3361.18208333
NE,NORDESTE,2007-01-02,7049.24916667
S,SUL,2007-01-02,7882.43666667
SE,SUDESTE,2007-01-02,27560.00708333
N,NORTE,2007-01-03,3419.79166667
NE,NORDESTE,2007-01-03,7362.22250000
S,SUL,2007-01-03,8462.37041667
SE,SUDESTE,2007-01-03,29170.56333333
N,NORTE,2007-01-04,3432.60125000
NE,NORDESTE,2007-01-04,7430.21666667
S,SUL,2007-01-04,8462.26708333
SE,SUDESTE,2007-01-04,29690.06333333
N,NORTE,2007-01-05,3434.90291667
NE,NORDESTE,2007-01-05,7453.03750000
S,SUL,2007-01-05,8433.35583333
SE,SUDESTE,2007-01-05,30125.18291667
N,NORTE,2007-01-06,3305.83666667
NE,NORDESTE,2007-01-06,7128.51541667
S,SUL,2007-01-06,7485.91625000
SE,SUDESTE,2007-01-06,28080.44708333
N,NORTE,2007-01-07,3232.09083333
NE,NORDESTE,2007-01-07,6607.67875000
S,SUL,2007-01-07,6337.54875000
SE,SUDESTE,2007-01-07,25759.30500000
N,NORTE,2007-01-08,3438.00416667
NE,NORDESTE,2007-01-08,7478.95125000
S,SUL,2007-01-08,8149.19625000
SE,SUDESTE,2007-01-08,30635.90833333
N,NORTE,2007-01-09,3433.86458333
NE,NORDESTE,2007-01-09,7636.09500000
S,SUL,2007-01-09,8692.86416667
SE,SUDESTE,2007-01-09,31351.70875000
N,NORTE,2007-01-10,3403.63250000
NE,NORDESTE,2007-01-10,7624.07041667
S,SUL,2007-01-10,9178.37666667
SE,SUDESTE,2007-01-10,31288.27666667
N,NORTE,2007-01-11,3457.63166667
NE,NORDESTE,2007-01-11,7638.81625000
S,SUL,2007-01-11,9222.81791667
SE,SUDESTE,2007-01-11,31600.64291667
N,NORTE,2007-01-12,3458.95833333
